task_id;title;owner_role;assignee;status;depends_on;input_refs;deliverable;acceptance;due_date
G01;Проверить исходную геометрию и подготовить карту достоверности;HEAD;/root;DONE_WITH_LIMITS;O02;documentation/README.md|data/office/design-intents.csv;deliverables/G01/v001/00_geometry-review.md;"Принят аналитический разбор; G01-R06 и размерная пригодность остаются открытыми";
G01-RH;Открыть и инвентаризировать 3DM;DESIGN;/root/rhino_geometry;DONE;O02-D;documentation/README.md|data/office/design-intents.csv;deliverables/G01/v001/;"Фактическое чтение и ограничения; проверяемые связи со входными файлами; исходники сохранены";
G01-DW;Открыть DWG и проверить виды единицы и состав;DESIGN;/root/dwg_geometry;DONE_WITH_LIMITS;O02-D;documentation/README.md|data/office/design-intents.csv;deliverables/G01/v001/;"Фактическое чтение и ограничения; проверяемые связи со входными файлами; исходники сохранены";
G01-SU;Составить адресный план обмеров по PDF и фото;DESIGN;/root/geometry_survey;DONE;O02-D;documentation/README.md|data/office/design-intents.csv;deliverables/G01/v001/;"Фактическое чтение и ограничения; проверяемые связи со входными файлами; исходники сохранены";
G01-QA;Независимо проверить извлечение геометрии;REVIEW;/root/geometry_review;DONE;G01-RH|G01-DW|G01-SU;documentation/README.md|data/office/design-intents.csv;deliverables/G01/v001/01_support/review/00_review.md;"Фактическое чтение и ограничения; проверяемые связи со входными файлами; исходники сохранены";
G02;Большой спринт: CAD основа и концептуальные варианты;DESIGN;/root;DONE_WITH_LIMITS;G01;deliverables/G01/v001/00_geometry-review.md|data/office/design-intents.csv;deliverables/G02/v001/00_sprint-result.md;"Второй CAD-движок; воспроизводимая частичная привязка с ограничениями; два концепта и независимая проверка без подмены натуры";
G02-CAD;Проверить DWG другим CAD-движком;DESIGN;/root/g02_cad;DONE_WITH_LIMITS;G01;deliverables/G02/v001/01_support/sprint-brief.md;deliverables/G02/v001/01_support/;"Результат воспроизводим; факты и эскизные параметры разделены; открытые вопросы не скрыты";
G02-ALIGN;Установить координатную связь и контрольные сечения;DESIGN;/root/g02_alignment;DONE_WITH_LIMITS;G01;deliverables/G02/v001/01_support/sprint-brief.md;deliverables/G02/v001/01_support/;"Результат воспроизводим; факты и эскизные параметры разделены; открытые вопросы не скрыты";
G02-LAYOUT;Подготовить два концептуальных варианта размещения;DESIGN;/root/g02_layout;DONE_WITH_LIMITS;G02-ALIGN;deliverables/G02/v001/01_support/sprint-brief.md;deliverables/G02/v001/01_support/;"Результат воспроизводим; факты и эскизные параметры разделены; открытые вопросы не скрыты";
G02-QA;Независимо проверить большой спринт;REVIEW;/root/g02_review;DONE;G02-CAD|G02-ALIGN|G02-LAYOUT;deliverables/G02/v001/01_support/sprint-brief.md;deliverables/G02/v001/01_support/;"Результат воспроизводим; факты и эскизные параметры разделены; открытые вопросы не скрыты";
G03;Проверить объёмную помещаемость и кормовой гараж;DESIGN;;PLANNED;G02;deliverables/G02/v001/00_sprint-result.md|data/office/design-intents.csv;Следующая версия объёмной компоновки;"Сечения, мебель и проходы; сценарии тендера и сервис; невыполненные критерии названы; отдельная независимая проверка";
T01-CADTOOLS;Дополнить Linux-инструменты и подготовить 3D-подоснову;HEAD;/root;DONE_WITH_LIMITS;G02;Прямое поручение владельца 10.09.2026: добивай инструменты;deliverables/T01/v001/00_tools.md;"Запуск программ; FCStd/STEP и SVG/PDF; проверенный сеточный перенос без заявления точного NURBS";
EXP-001;Эксперимент продления и подъёма рубки;DESIGN;/root;DONE_EXPERIMENTAL_WITH_LIMITS;G02|T01-CADTOOLS;D012|deliverables/V02/v001/00_full-model.md|data/office/design-intents.csv;experiments/EXP-001/00_proposal.md;"Отдельная сцена, исходники сохранены;3м и вертикальное остекление видны; условные пол/мачта/2.10м раскрыты; независимая проверка";
EXP-002;Наклонные борта, низкое носовое продолжение и хардтоп;DESIGN;/root;DONE_EXPERIMENTAL_WITH_LIMITS;EXP-001;D013|experiments/EXP-001/00_proposal.md;experiments/EXP-002/00_proposal.md;"Сохранённая верхняя крыша; наклонные борта; ещё3м низкого продолжения; плановые проходы; хардтоп; независимая проверка и неизменность исходников";
EXP-003;Фальшборт, наклонный лоб и законченные сопряжения;DESIGN;/root;DONE_EXPERIMENTAL_WITH_LIMITS;EXP-002;D014|experiments/EXP-002/00_proposal.md;experiments/EXP-003/00_proposal.md;"Отдельная сцена; +0.25м от исходного фальшборта; клюзы; лоб45°; скругления и связи хардтопа; независимая проверка";
U01;Пустой шаблон будущей УТВ достройки яхты;HEAD;/root;DONE_EMPTY_TEMPLATE_NOT_APPROVED_BUDGET;EXP-003;D016|office/cost-policy.md|data/office/wbs.csv;deliverables/U01/v001/00_UTV_template.xlsx;"Структура систем и работ; пустые числа; КП→КАЦ→смета; реальные проверки LibreOffice; независимая техническая и расчётная проверка";
